Time,Channel A,Channel B
(ns),(V),(mV)

182.80000250,3.18982400,180.03910000
183.20000250,3.20939300,177.10370000
183.60000251,3.22896300,178.08220000
184.00000251,3.17025400,178.08220000
184.40000252,3.22896300,177.10370000
184.80000252,3.18982400,178.08220000
185.20000253,3.22896300,178.08220000
185.60000253,3.18982400,179.06070000
186.00000254,3.26810200,176.12520000
186.40000254,3.20939300,178.08220000
186.80000255,3.22896300,179.06070000
187.20000255,3.17025400,179.06070000
187.60000256,3.18982400,175.14680000
188.00000257,3.18982400,177.10370000
188.40000257,3.24853200,177.10370000
188.80000258,3.20939300,177.10370000
189.20000258,3.18982400,176.12520000
189.60000259,3.22896300,179.06070000
190.00000259,3.24853200,176.12520000
190.40000260,3.22896300,180.03910000
190.80000260,3.22896300,180.03910000
191.20000261,3.20939300,179.06070000
191.60000261,3.22896300,177.10370000
192.00000262,3.28767100,178.08220000
192.40000262,3.24853200,179.06070000
192.80000263,3.18982400,179.06070000
193.20000264,3.26810200,179.06070000
193.60000264,3.18982400,180.03910000
194.00000265,3.22896300,180.03910000
194.40000265,3.26810200,181.99610000
194.80000266,3.26810200,181.99610000
195.20000266,3.22896300,181.99610000
195.60000267,3.28767100,181.99610000
196.00000267,3.26810200,184.93150000
196.40000268,3.28767100,184.93150000
196.80000268,3.26810200,184.93150000
197.20000269,3.22896300,183.95300000
197.60000269,3.22896300,183.95300000
198.00000270,3.26810200,181.99610000
198.40000270,3.20939300,183.95300000
198.80000271,3.26810200,184.93150000
199.20000272,3.24853200,183.95300000
199.60000272,3.28767100,182.97450000
200.00000273,3.20939300,182.97450000
200.40000273,3.26810200,183.95300000
200.80000274,3.22896300,182.97450000
201.20000274,3.26810200,182.97450000
201.60000275,3.28767100,184.93150000
202.00000275,3.26810200,183.95300000
202.40000276,3.26810200,182.97450000
202.80000276,3.26810200,182.97450000
203.20000277,3.26810200,183.95300000
203.60000277,3.26810200,181.01760000
204.00000278,3.20939300,183.95300000
204.40000278,3.28767100,182.97450000
204.80000279,3.26810200,184.93150000
205.20000280,3.28767100,181.99610000
205.60000280,3.18982400,183.95300000
206.00000281,3.26810200,183.95300000
206.40000281,3.26810200,182.97450000
206.80000282,3.32681000,183.95300000
207.20000282,3.30724100,183.95300000
207.60000283,3.30724100,184.93150000
208.00000283,3.24853200,185.91000000
208.40000284,3.22896300,185.91000000
208.80000284,3.28767100,184.93150000
209.20000285,3.24853200,184.93150000
209.60000285,3.24853200,188.84540000
210.00000286,3.28767100,185.91000000
210.40000286,3.24853200,182.97450000
210.80000287,3.20939300,181.99610000
211.20000288,3.24853200,182.97450000
211.60000288,3.26810200,181.99610000
212.00000289,3.24853200,183.95300000
212.40000289,3.26810200,181.99610000
212.80000290,3.20939300,181.99610000
213.20000290,3.26810200,180.03910000
213.60000291,3.24853200,181.99610000
214.00000291,3.20939300,181.99610000
214.40000292,3.22896300,181.99610000
214.80000292,3.22896300,180.03910000
215.20000293,3.24853200,181.01760000
215.60000293,3.22896300,179.06070000
216.00000294,3.24853200,181.99610000
216.40000294,3.28767100,179.06070000
216.80000295,3.26810200,182.97450000
217.20000296,3.24853200,180.03910000
217.60000296,3.28767100,180.03910000
218.00000297,3.26810200,178.08220000
218.40000297,3.28767100,180.03910000
218.80000298,3.28767100,180.03910000
219.20000298,3.22896300,181.01760000
219.60000299,3.24853200,180.03910000
220.00000299,3.24853200,179.06070000
220.40000300,3.26810200,179.06070000
220.80000300,3.24853200,179.06070000
221.20000301,3.24853200,179.06070000
221.60000301,3.26810200,177.10370000
222.00000302,3.24853200,179.06070000
222.40000302,3.26810200,178.08220000
222.80000303,3.26810200,179.06070000
223.20000304,3.24853200,177.10370000
223.60000304,3.30724100,179.06070000
224.00000305,3.18982400,179.06070000
224.40000305,3.20939300,178.08220000
224.80000306,3.20939300,178.08220000
225.20000306,3.24853200,180.03910000
225.60000307,3.26810200,180.03910000
226.00000307,3.24853200,180.03910000
226.40000308,3.22896300,181.99610000
226.80000308,3.24853200,180.03910000
227.20000309,3.24853200,182.97450000
227.60000309,3.28767100,181.99610000
228.00000310,3.26810200,182.97450000
228.40000310,3.26810200,181.99610000
228.80000311,3.22896300,182.97450000
229.20000312,3.26810200,180.03910000
229.60000312,3.18982400,184.93150000
230.00000313,3.22896300,184.93150000
230.40000313,3.20939300,185.91000000
230.80000314,3.22896300,181.01760000
231.20000314,3.24853200,181.99610000
231.60000315,3.26810200,179.06070000
232.00000315,3.24853200,183.95300000
232.40000316,3.22896300,180.03910000
232.80000316,3.26810200,177.10370000
233.20000317,3.26810200,181.01760000
233.60000317,3.24853200,179.06070000
234.00000318,3.22896300,180.03910000
234.40000319,3.22896300,181.99610000
234.80000319,3.22896300,183.95300000
235.20000320,3.20939300,183.95300000
235.60000320,3.22896300,182.97450000
236.00000321,3.24853200,186.88840000
236.40000321,3.26810200,184.93150000
236.80000322,3.15068500,187.86690000
237.20000322,3.24853200,188.84540000
237.60000323,3.18982400,187.86690000
238.00000323,3.20939300,191.78080000
238.40000324,3.20939300,190.80230000
238.80000324,3.26810200,186.88840000
239.20000325,3.17025400,187.86690000
239.60000325,3.26810200,189.82390000
240.00000326,3.20939300,188.84540000
240.40000327,3.20939300,186.88840000
240.80000327,3.22896300,185.91000000
241.20000328,3.22896300,181.99610000
241.60000328,3.22896300,182.97450000
242.00000329,3.26810200,181.01760000
242.40000329,3.18982400,181.01760000
242.80000330,3.24853200,178.08220000
243.20000330,3.18982400,178.08220000
243.60000331,3.22896300,178.08220000
244.00000331,3.24853200,176.12520000
244.40000332,3.20939300,177.10370000
244.80000332,3.20939300,176.12520000
245.20000333,3.24853200,177.10370000
245.60000333,3.22896300,174.16830000
246.00000334,3.28767100,177.10370000
246.40000335,3.18982400,177.10370000
246.80000335,3.20939300,176.12520000
247.20000336,3.22896300,178.08220000
247.60000336,3.24853200,180.03910000
248.00000337,3.20939300,179.06070000
248.40000337,3.17025400,180.03910000
248.80000338,3.17025400,179.06070000
249.20000338,3.22896300,178.08220000
249.60000339,3.17025400,178.08220000
250.00000339,3.22896300,177.10370000
250.40000340,3.17025400,177.10370000
250.80000340,3.22896300,177.10370000
251.20000341,3.17025400,176.12520000
251.60000341,3.24853200,175.14680000
252.00000342,3.18982400,176.12520000
252.40000343,3.24853200,175.14680000
252.80000343,3.22896300,175.14680000
253.20000344,3.18982400,174.16830000
253.60000344,3.24853200,177.10370000
254.00000345,3.24853200,177.10370000
254.40000345,3.22896300,177.10370000
